 ID,Crop,Pest or Disease name,Diesease Photo,Causing Agent,Favorable Climate,Symptoms,Management,Crop Science view,Created,Updated
26,ONION,POWDERY MILDEW,"{'url':'7cbfc4f3c79b2be83b46a2d9bc4cf863c4bcfda7a731aa1f45fe874d3acb85b3.jpeg','size':7676,'width':300,'height':168,'filename':'Powdery Mildew.jpeg','metadata':{'width':300,'height':168,'blurHash':'e7C%m8?tR7^*-TK*Rot6E24:~W?as,?G%2cAE2WAM|xv00?Gais;-;','blurHashWidth':32}}",Fungus Leveillula taurica.,Warm and dry conditions. Temperatures ranging between 20°C to 30°C (68°F to 86°F).,"1) Initial Stage: Powdery white to grayish patches appear on the leaves, usually starting from the older foliage.
2) Progression: These patches spread across the surface of the leaves, stems, and occasionally on the bulbs. The affected areas develop a powdery or fluffy white coating.
3) Leaf Damage: As the disease progresses, the leaves might become distorted, turn yellow, and eventually die off.
4) Bulb Impact: In severe cases, bulbs may also be affected, resulting in reduced size and quality.","1) Proper Air Circulation: Plant onions with adequate spacing to ensure good airflow between plants.
2) Field Hygiene: Remove and destroy infected plant debris to reduce the chances of recurrence.
3) Avoid Overhead Irrigation: Minimize moisture on the foliage by using drip or furrow irrigation systems.
4) Resistant Varieties: Utilize onion varieties that have demonstrated resistance or tolerance to powdery mildew.
5) Fungicides: Application of fungicides specifically targeting powdery mildew can be effective, especially during initial outbreaks.
6) Sulfur-Based Sprays: Sulfur-based fungicides are commonly used for managing powdery mildew in onions.
7) Biological Control: Beneficial microbes and organisms can sometimes help in managing fungal diseases like powdery mildew.
",ONION,2025-04-09T03:47:49.006Z,2025-04-11T12:34:49.839Z
25,ONION,DOWNY MILDEW,"{'url':'aaed1f736077bceed6000daa54c7e9221836243a0a20c37182eb522c0e00caa8.jpg','size':57969,'width':750,'height':422,'filename':'downy mildew.jpg','metadata':{'width':750,'height':422,'blurHash':'eGAweLHZ13b@rZ$%oyNHt7VtNboes.j[WVtQjFWXSgaeoLbGjZo1ay','blurHashWidth':32}}",Peronospora destructor.,"Cool, humid, and wet conditions. Temperatures between 15°C to 22°C (59°F to 72°F) with high humidity.","1) Initial Stage: Yellow to pale green spots appear on the leaves, usually starting from the tips or edges.
2) Progression: These spots enlarge and turn brown. They might appear water-soaked initially and gradually develop a fuzzy gray or purplish mold growth on the underside of leaves.
3) Severe Infections: Leaves may become distorted or curl, and significant defoliation can occur. This impacts bulb development, reducing both size and quality.","1) Crop Rotation: Avoid planting onions or related crops in the same area consecutively.
2) Proper Spacing: Adequate spacing between plants promotes airflow and reduces moisture accumulation.
3) Good Drainage: Ensure proper field drainage to prevent waterlogging.
4) Weed Control: Remove weeds to reduce humidity and competition for nutrients.
5) Resistant Varieties: Planting onion varieties resistant to downy mildew can mitigate the risk of infection.
6) Fungicides: Application of fungicides can help manage and control the disease. Copper-based fungicides are commonly used.
7) Monitoring and Early Detection: Regularly inspect plants for symptoms, and if identified, take immediate action to prevent its spread.
8) Sanitation: Remove and destroy infected plant material to prevent the disease from spreading to healthy plants.",ONION,2025-04-09T03:47:49.004Z,2025-04-11T12:35:03.366Z
24,BOTTLE GOURD,GREEN MIRID,,,,,,BOTTLE GOURD,2025-04-09T03:47:49.002Z,2025-04-09T03:47:49.002Z
23,BOTTLE GOURD,ANTHRACNOSE,,,,,,BOTTLE GOURD,2025-04-09T03:47:49.001Z,2025-04-09T03:47:49.001Z
22,BOTTLE GOURD,BACTERIAL WILT ,,,,,,BOTTLE GOURD,2025-04-09T03:47:48.999Z,2025-04-09T03:47:48.999Z
21,BOTTLE GOURD,WHITEFLY,"{'url':'a90a310fcea38c398bb6a1b989ddc7e2b88feb77154198f6037d748c8b51e3f4.jpg','size':234661,'width':800,'height':533,'filename':'csm_greenhouse_whitefly_trialeurodes_vaporariorum_adult_1_koppert_4cfec7f330 (1).jpg','metadata':{'width':800,'height':533,'blurHash':'eHJ+6Ox?9GxsaQ_1%Kj?fioe02xtxcRQR$tLR*ofofWBakt6W9ofs;','blurHashWidth':32}}",,,,,BOTTLE GOURD,2025-04-09T03:47:48.998Z,2025-04-11T14:30:36.170Z
20,BOTTLE GOURD,DOWNY MILDEW,"{'url':'555dc116a75864e42fa037bfd4d103383b8099fde58060755f69aadeb93ecb7e.jpg','size':145041,'width':1200,'height':900,'filename':'downy-mildew in bottle gourd.jpg','metadata':{'width':1200,'height':900,'blurHash':'e79SLH.58}D,IDyps;teyAbqD8o{pGXkt6s%njWYbspGnSofkUtOtQ','blurHashWidth':32}}",Pathogen : Peronospora sparsa,"1) Warm, humid weather: High temperatures and humidity provide ideal conditions for the fungus to thrive 18°C to 30°C (60°F and 85°F).
2) Heavy dew or rain: Frequent wetting of the plant leaves can promote infection.
3) Poor air circulation: Dense planting or inadequate ventilation can create a humid environment.","1) Yellowish-green spots: Small, circular or irregular spots on the upper surface of leaves.
2) Purple-gray coating: A fuzzy, purple-gray coating often appears on the underside of leaves, especially during cool, humid weather.
3) Leaf distortion: In severe cases, leaves may become distorted or yellow.
4) Premature defoliation: If left unchecked, downy mildew can lead to premature leaf drop.","1) Cultural Practices: a) Crop rotation: Avoid planting bottle gourd in the same area for consecutive seasons.
b) Proper spacing: Ensure adequate air circulation between plants.
c) Avoid overhead irrigation: Water plants at the base to avoid wetting the leaves.
d) Remove infected plants: Destroy infected plants to prevent the spread of the disease.
2) Resistant Varieties: Choose bottle gourd varieties that are known to be resistant to downy mildew.
3) Chemical Control: Fungicides can be used to control downy mildew, but they should be applied as soon as symptoms appear.
4) Common fungicides for downy mildew include copper oxychloride, mancozeb, and chlorothalonil.",BOTTLE GOURD,2025-04-09T03:47:48.996Z,2025-04-11T13:03:01.873Z
19,BOTTLE GOURD,ROOT KNOT NEMATODE,"{'url':'fc0d7879bdc7dc269525e530322fbfd2fd572c155ee19191bc3d2cc0069c5784.png','size':513268,'width':685,'height':420,'filename':'ROOTKNOT Nematode in vegetables.png','metadata':{'width':685,'height':420,'blurHash':'ePKc;QGs.Qt-R.~VRPF_ngnOx]niV@jYWX%Mx]sps;oKxwRjNGbHr?','blurHashWidth':32}}",Pathogen : Meloidogyne incognita,"1) Warm temperatures: Nematodes thrive in warm climates with temperatures between 15°C and 30°C (60°F and 85°F) .
2) High humidity: Moist soil conditions provide a favorable environment for nematode survival and reproduction.
3) Sandy or loamy soils: Nematodes often prefer sandy or loamy soils that are well-drained.
4) Continuous cropping: Planting the same crop in the same area year after year can increase the population of nematodes.
5) Poor soil fertility: Low levels of organic matter and nutrients can make plants more susceptible to nematode damage","1) Galls: The most distinctive symptom is the presence of galls or knots on the roots.
2) Stunted growth: Plants affected by nematodes may appear stunted and unhealthy.
3) Wilting: Plants may wilt, especially during hot, dry weather, due to their inability to absorb water efficiently.
4) Reduced yield: Nematodes can significantly reduce the yield of bottle gourd plants.","1) Crop Rotation: Rotate crops to avoid planting bottle gourd in the same area for several years. This helps to disrupt the nematode life cycle.
2) Resistant Varieties: Choose bottle gourd varieties that are known to be resistant to root-knot nematodes.
3) Solarization: Cover the soil with clear plastic sheets for several weeks during the hottest part of the year. This can help to kill nematodes in the soil.
4) Nematicides: In severe cases, nematicides can be used to control nematodes like (Fluopyrum 34.48% SC). However, these chemicals should be used with caution and according to label instructions.
5) Biological Control: Some beneficial microorganisms, such as Trichoderma species, can help to suppress nematodes.
6) Cultural Practices: a) Avoid planting bottle gourd in areas with a history of nematode problems.
b)Remove and destroy infected plants to prevent the spread of nematodes
",BOTTLE GOURD,2025-04-09T03:47:48.995Z,2025-04-11T13:02:48.313Z
18,BOTTLE GOURD,LEAF SPOT,"{'url':'922fe470f1851c6448afa0efa1368a17d201faca61b77116c4137380a717a899.png','size':2035686,'width':1024,'height':1024,'filename':'Leaf spot.png','metadata':{'width':1024,'height':1024,'blurHash':'e8AnSUtj8~tPIW.it6t5RkW.8$afafRlx???oyICo{t6x@WVtOtjWX','blurHashWidth':32}}","Pathogen : Cercospora spp., Alternaria spp. , and Rhizoctonia spp. , can cause leaf spot","1) Warm, humid weather.
2) Frequent rainfall or heavy dew can create ideal conditions for fungal growth","1) Circular spots: Small, circular or irregular spots on leaves.
2) Color: Spots may be brown, gray, or yellow, often with a darker border.
3) Leaf distortion: In severe cases, leaves may become distorted or yellow.
4) Premature defoliation: If left unchecked, leaf spot can lead to premature leaf drop.","1) Cultural Practices:
a) Crop rotation: Avoid planting bottle gourd in the same area for consecutive seasons.
b) Proper spacing: Ensure adequate air circulation between plants to reduce humidity.
c) Sanitation: Remove and destroy infected plant parts to prevent the spread of disease.
d) Avoid overhead irrigation: Water plants at the base to avoid wetting the leaves.
2) Resistant Varieties: Choose bottle gourd varieties that are known to be resistant to leaf spot.
3) Chemical Control: If the disease is severe or cultural practices are not sufficient, fungicides can be used.
Common fungicides for leaf spot include copper oxychloride, mancozeb, and chlorothalonil.",BOTTLE GOURD,2025-04-09T03:47:48.993Z,2025-04-11T13:15:09.596Z
17,BOTTLE GOURD,LEAF MINER,"{'url':'14e22ea1da3fe342d2af031766be47c3188f6255b103d42d7a78c56ad3675dcc.jpg','size':40702,'width':720,'height':373,'filename':'leaf miner.jpg','metadata':{'width':720,'height':373,'blurHash':'eJE4*Q.PDkSKIC.jn+RQV[V[IUIVr^%LRQx@tQRRa{V[%LofRkWURj','blurHashWidth':32}}","Insects: Leaf miners are the larvae of small flies belonging to the genus Liriomyza.
Life Cycle: The adult female fly lays eggs on the undersides of leaves. Upon hatching, the larvae tunnel through the leaf tissues, causing damage.","Temperate Climate: Leaf miners thrive in warm temperatures.
New Growth: They often target young, tender leaves for feeding and egg laying.","1) Visible Trails: The larvae create distinctive, winding tunnels or trails (mines) in the leaves as they feed, which are often visible on the leaf surface.
2) Leaf Damage: This feeding causes the affected areas of the leaf to turn brown or dry up, affecting the plant's ability to photosynthesize properly.
3) Reduced Plant Vitality: Severe infestations can weaken the plant, leading to stunted growth and reduced yields.","1) Pruning: Remove and destroy heavily infested leaves to reduce the population.
2) Sanitation: Keep the area around the plants clean to reduce hiding places for adult flies and larvae.
3) Natural Predators: Encourage natural enemies like parasitic wasps that attack leaf miner larvae.
4) Insecticides: In severe cases, insecticides can be used following recommended guidelines. Use targeted insecticides that are effective against leaf miners.
5) Reflective Mulches: Use reflective mulches around plants as they may deter adult flies from laying eggs on the undersides of leaves.
6) Monitoring: Regularly inspect plants for signs of leaf miner damage to detect infestations early.",BOTTLE GOURD,2025-04-09T03:47:48.992Z,2025-04-11T13:01:18.300Z
